cont_ID,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_death_total_est,cvd_25_death_total_lb,cvd_25_death_total_ub,year
3,3627.677309796741,1907.176599097472,5579.807616489549,22194.778252643733,11735.01606216672,34104.62032776856,25822.455562440475,13642.192661264193,39684.42794425811,1990
3,3875.702832247148,2038.429627118026,5969.152799075469,22587.740911847075,11925.545527904076,34707.800036888526,26463.443744094224,13963.975155022104,40676.952835964,1991
3,3889.912897698663,2048.235065941452,5981.010116918948,22927.80128603536,12127.383964112423,35176.980838260475,26817.714183734017,14175.619030053876,41157.99095517943,1992
3,3820.596226377412,2013.6118611404504,5865.665855223126,23267.803312682383,12301.105836590974,35667.85648515362,27088.3995390598,14314.717697731425,41533.522340376745,1993
3,4139.291300693852,2182.0610078607124,6330.639010522409,24105.003593256395,12748.35365856675,36965.52287851092,28244.29489395025,14930.414666427465,43296.16188903333,1994
3,4308.795515857792,2268.00161212708,6618.882995465496,24035.884426876903,12697.439480507202,36894.251972769765,28344.679942734696,14965.441092634284,43513.13496823526,1995
3,4694.966689086472,2473.18129822311,7200.04379720919,24927.912637812235,13181.247414644731,38240.5237096093,29622.879326898703,15654.428712867842,45440.567506818494,1996
3,5044.905173724668,2657.798004001518,7775.888984673458,25153.67203854768,13300.67676903957,38676.777803896286,30198.577212272343,15958.474773041087,46452.66678856975,1997
3,5901.550853743451,3105.3388147655032,9092.06075161328,26310.24293273532,13888.067554947616,40489.79126262667,32211.79378647877,16993.40636971312,49581.85201423995,1998
3,5783.110529949935,3040.070298881758,8909.922113930543,25826.176078450564,13602.441041973836,39852.08187125505,31609.2866084005,16642.511340855595,48762.0039851856,1999
3,5683.8306235052605,2983.8571272874137,8761.94209314337,25204.119953051464,13282.045668821378,38843.72388043963,30887.950576556723,16265.902796108792,47605.665973583,2000
3,6359.404339465335,3342.0454039707074,9805.07599369156,26274.71406775257,13865.025646384542,40499.271956631295,32634.118407217906,17207.071050355247,50304.34795032286,2001
3,6547.061337703541,3442.7765932701504,10107.038867062996,26210.010052420446,13823.171900948602,40407.38604956434,32757.071390123987,17265.948494218752,50514.42491662734,2002
3,6923.920206741047,3657.1290038797583,10621.980145818068,26162.137470678837,13806.732080283668,40275.32386615085,33086.05767741988,17463.861084163425,50897.30401196891,2003
3,7355.247173984215,3886.828772049781,11292.546726706683,25680.824074991604,13570.146373921558,39519.28682249589,33036.071248975815,17456.975145971337,50811.83354920257,2004
3,7945.044383170397,4185.450442140971,12169.044683505444,25942.20831505688,13694.36280384651,39873.07868673157,33887.25269822728,17879.813245987483,52042.12337023701,2005
3,7718.745832116786,4069.5713188569703,11844.200644375987,24280.35829825417,12829.838428497978,37294.99488323865,31999.10413037096,16899.40974735495,49139.19552761464,2006
3,8612.385652966408,4543.956839074647,13176.414749268735,24933.035557564548,13167.70957007687,38303.32909317271,33545.42121053096,17711.666409151516,51479.74384244144,2007
3,8839.299539720821,4642.553390580546,13589.798297982668,24161.03417250503,12734.976456799124,37225.97304098255,33000.33371222585,17377.529847379672,50815.77133896522,2008
3,8921.19604037326,4710.490640382719,13776.747283992176,24529.748885091016,12915.00695326878,37939.591969673325,33450.944925464275,17625.4975936515,51716.3392536655,2009
3,8680.878569903132,4566.206373241959,13395.662852082858,23665.982790036232,12432.080424147944,36692.7342275996,32346.861359939365,16998.286797389905,50088.39707968246,2010
3,8881.196998357042,4664.492676605472,13721.254726755324,23218.277692838517,12192.25472641759,36056.29668306399,32099.474691195555,16856.747403023062,49777.55140981931,2011
3,8840.627559793551,4636.993538700962,13633.548832095988,22041.321929570047,11561.3627107785,34243.03993507925,30881.9494893636,16198.35624947946,47876.58876717524,2012
3,8072.479873517008,4241.044977497059,12462.638991737238,20183.248269650216,10586.38921701906,31421.16610174106,28255.728143167224,14827.43419451612,43883.805093478295,2013
3,8636.290397378083,4542.32604832109,13330.145458902258,19442.364293025385,10193.72517881884,30299.2096320162,28078.65469040347,14736.051227139931,43629.355090918456,2014
3,8537.746432493843,4488.574364000953,13188.709327871564,19957.92011638925,10463.589233276629,31111.541059285817,28495.6665488831,14952.163597277582,44300.25038715738,2015
3,8784.5459225846,4599.735753048511,13684.737308051406,19169.39600792618,9994.221366202804,30174.07175261951,27953.94193051078,14593.957119251314,43858.80906067092,2016
3,8791.279506390541,4616.444350772683,13743.196300327783,18766.588784734096,9772.512686001191,29645.60190539312,27557.86829112464,14388.957036773874,43388.7982057209,2017
3,8677.526702665264,4497.689781977548,13712.592278936309,18299.874901277715,9472.20667141371,29098.1080109278,26977.401603942977,13969.89645339126,42810.70028986411,2018
3,8718.371734557491,4506.660786476385,13900.744239721662,17945.881505229954,9245.304649854676,28816.107530370104,26664.25323978745,13751.965436331062,42716.851770091766,2019
