Region,M0,A,B,C,M1,pt1,pt2,pt3,pt4,total
Africa,3613.3834563161968,7962.634320062411,6788.120461014235,6377.173316162529,8703.167283194853,120.4,-14.8,-6.1,36.5,140.9
Americas,28276.489813928714,40263.13762671102,40690.621246225564,47598.8686680021,23416.088985929327,42.4,1.1,17.0,-50.8,-17.2
Asia,51978.25401246337,82688.19140538445,92647.30845654308,73023.30243210819,202793.74663851247,59.1,12.0,-21.2,177.7,290.2
Europe,34721.88056962513,40868.446406628784,43769.71474149889,46057.78780073673,32340.504472656197,17.7,7.1,5.2,-29.8,-6.9
Oceania,8.085582053345396e-05,8.073969308277959e-05,8.212211998945182e-05,9.519799013220422e-05,0.0037411446736047,-0.1,1.7,15.9,3829.9,4526.9
Australia and New Zealand,8.085582053345396e-05,8.073969308277959e-05,8.212211998945182e-05,9.519799013220422e-05,0.0037411446736047,-0.1,1.7,15.9,3829.9,4526.9
Central Asia,1133.9058954304464,1939.0465540795635,1703.3627953513517,1696.2232855762518,1671.6304020399973,71.0,-12.2,-0.4,-1.4,47.4
Eastern Asia,32678.618906052583,45395.34796343054,56161.733381882594,42775.27938812001,128649.41376744154,38.9,23.7,-23.8,200.8,293.7
Eastern Europe,14165.821224399397,15394.228002546935,16531.613090588125,17287.3718845402,14366.571846220835,8.7,7.4,4.6,-16.9,1.4
North America,27673.77302315465,39465.53480323541,39793.16160503416,46806.13679025213,20994.390483734747,42.6,0.8,17.6,-55.1,-24.1
Northern Africa,2345.1194283656823,4165.789864295701,4158.124720208175,3793.102947368691,5895.384043409626,77.6,-0.2,-8.8,55.4,151.4
Northern Europe,2658.8992998293807,3651.488524658249,3681.1168300216113,3953.7937377202743,1354.2311424479062,37.3,0.8,7.4,-65.7,-49.1
Other Oceania,0.0,0.0,0.0,0.0,0.0,,,,,
South America,602.7167907740659,797.6028234756071,897.4596411914131,792.731877749968,2421.69850219458,32.3,12.5,-11.7,205.5,301.8
Southeastern Asia,309.5997339265034,501.6936391223717,534.5465080625717,470.7936896630238,8134.083035931863,62.0,6.5,-11.9,1627.7,2527.3
Southern Asia,10469.333094102032,23731.100688280563,22479.15866648665,16697.010257793605,51473.39228541917,126.7,-5.3,-25.7,208.3,391.7
Southern Europe,8196.174052776201,10270.494340480316,11684.102448260566,12460.883563635462,9227.431341971864,25.3,13.8,6.6,-25.9,12.6
Sub-Saharan Africa,1268.264027950515,3796.8444557667103,2629.99574080606,2584.0703687938376,2807.7832397852258,199.4,-30.7,-1.7,8.7,121.4
Western Asia,3577.067381323731,6872.784860544595,7504.507902429478,7035.712372820249,7798.949080238569,92.1,9.2,-6.2,10.8,118.0
Western Europe,9700.985992620152,11552.23553894328,11872.882372628585,12355.738614840797,7392.270142015587,19.1,2.8,4.1,-40.2,-23.8
