M49R,cvd_25_omr_urban_est,cvd_25_omr_urban_lb,cvd_25_omr_urban_ub,cvd_25_omr_rural_est,cvd_25_omr_rural_lb,cvd_25_omr_rural_ub
Australia and New Zealand,0.0,0.0,0.0,3.9,2.1,5.8
Central Asia,6.1,3.3,9.1,12.6,6.8,18.7
Eastern Asia,4.9,2.7,7.4,8.4,4.5,12.6
Eastern Europe,7.3,3.9,10.9,22.0,11.8,32.6
North America,8.6,4.6,12.8,10.3,5.5,15.3
Northern Africa,3.3,1.7,5.0,9.1,4.9,13.8
Northern Europe,4.2,2.3,6.2,18.0,9.7,26.6
Other Oceania,0.0,0.0,0.0,0.1,0.1,0.2
South America,0.2,0.1,0.3,2.2,1.2,3.2
Southeastern Asia,0.2,0.1,0.3,3.9,2.1,5.9
Southern Asia,3.0,1.6,4.6,6.4,3.4,9.6
Southern Europe,9.2,4.9,13.7,18.2,9.8,27.0
Sub-Saharan Africa,0.9,0.5,1.4,3.8,2.0,5.9
Western Asia,4.2,2.2,6.4,8.7,4.6,13.1
Western Europe,7.3,3.9,10.8,20.0,10.8,29.3
