M49R,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
Australia and New Zealand,0.0,0.0,0.0,2100.0,1100.0,3100.0
Central Asia,23500.0,12600.0,34800.0,95300.0,51400.0,140600.0
Eastern Asia,696300.0,371500.0,1045100.0,1778600.0,952100.0,2665500.0
Eastern Europe,265600.0,142300.0,394400.0,497600.0,267800.0,735600.0
North America,473100.0,254400.0,698600.0,239900.0,129200.0,355000.0
Northern Africa,54200.0,28800.0,82400.0,203000.0,107900.0,307700.0
Northern Europe,43500.0,23200.0,64200.0,75900.0,41000.0,111700.0
Other Oceania,0.0,0.0,0.0,200.0,100.0,300.0
South America,14000.0,7400.0,20700.0,35000.0,18700.0,52100.0
Southeastern Asia,7500.0,3900.0,11700.0,330800.0,174900.0,506200.0
Southern Asia,270900.0,144300.0,408500.0,1764300.0,943600.0,2656000.0
Southern Europe,131000.0,70400.0,194600.0,180600.0,97200.0,267200.0
Sub-Saharan Africa,29400.0,15300.0,46700.0,322700.0,168600.0,504200.0
Western Asia,77800.0,41300.0,118500.0,126700.0,67300.0,192800.0
Western Europe,149600.0,80300.0,220300.0,150700.0,81600.0,219800.0
